ranking,player_name,jorsey_name,country,tournaments,points
186,Shogo Ogawa,OGAWA,Japan,6,9070
187,Elias Bracke,BRACKE,Belgium,17,9060
188,Jack Yu,YU,Australia,14,8932
189,Liang Liu,LIU,China,3,8930
190,Eveshgaran Vasigaran,VASIGARAN,Malaysia,15,8870
191,Alvi Wijaya Chairullah,CHAIRULLAH,Indonesia,8,8820
192,Mads Juel Møller,MØLLER,Denmark,16,8790
193,Jeppe Bruun,BRUUN,Denmark,15,8690
194,Wolfgang Gnedt,GNEDT,Austria,13,8609
195,Dumindu Abeywickrama,ABEYWICKRAMA,Sri Lanka,15,8600
196,Prince Dahal,DAHAL,Nepal,7,8560
197,Jia Wei Joel Koh,KOH,Singapore,11,8460
198,Dominik Kwinta,KWINTA,Poland,11,8448
199,Yu Hsien Lin,LIN,Chinese Taipei,9,8380
200,Kevin Arokia Walter,WALTER,USA,10,8330
201,Jeng Hon Chia,CHIA,Malaysia,10,8310
202,Youcef Sabri Medel,MEDEL,Algeria,15,8292
203,Subhankar Dey,DEY,India,12,8290
204,Shashwat Dalal,DALAL,India,11,8210
205,Vishal Vasudevan,VASUDEVAN,India,7,8210
206,Jia Jie Tan,TAN,Malaysia,14,8110
207,Yen-Chen Ting,TING,Chinese Taipei,7,8110
208,Iqbal Diaz Syahputra,SYAHPUTRA,Indonesia,8,8080
209,Wan Ho Son,SON,Korea,6,8080
210,Luis Armando Montoya Navarro,NAVARRO,Mexico,9,8050
211,Tegar Sulistio,SULISTIO,Indonesia,8,8040
212,Kian-Yu Oei,OEI,Germany,17,7960
213,Saran Jamsri,JAMSRI,Thailand,8,7858
214,Santiago Otero,OTERO,Argentina,9,7830
215,Ji Hoon Choi,CHOI,Korea,3,7820
216,Korakrit Laotrakul,LAOTRAKUL,Thailand,15,7740
217,Davi Silva,SILVA,Brazil,9,7740
218,Leo Lee,LEE,Paraguay,9,7680
219,Hemanth M.Gowda,M.GOWDA,India,11,7670
220,Koshiro Moriguchi,MORIGUCHI,Japan,6,7630
221,Aria Dinata,DINATA,Croatia,11,7580
222,Kashyap Parupalli,PARUPALLI,India,8,7530
223,Caden Kakora,KAKORA,South Africa,11,7437
224,Hussein Shaheed,SHAHEED,Maldives,15,7340
225,Adel Hamek,HAMEK,Algeria,9,7260
226,Heng Lin Ngan,NGAN,England,14,7220
227,Javier Armando Alas,ALAS,El Salvador,9,7200
228,Phone Pyae Naing,NAING,Myanmar,13,7130
229,Brian Holtschke,HOLTSCHKE,Germany,18,7060
230,Fei Xiang Sun,SUN,China,2,7020
231,Muhammad Reza Al Fajri,FAJRI,Indonesia,10,7010
232,Linden Wang,WANG,USA,15,6980
233,Miha Ivančič,IVANČIČ,Slovenia,19,6950
234,Mateusz Danielak,DANIELAK,Poland,16,6930
235,Kim Bruun,BRUUN,Denmark,8,6890
236,Jason Christ Alexander,ALEXANDER,Indonesia,6,6870
237,Yohan Barbieri,BARBIERI,France,18,6770
238,Henry Huebla Leon,LEON,Ecuador,4,6770
239,Shao Herng Hooi,HOOI,Malaysia,10,6630
240,Keisuke Fujiwara,FUJIWARA,Japan,6,6560
241,Simon Baron-Vezilier,BARON-VEZILIER,France,10,6530
242,Hikaru Minegishi,MINEGISHI,Japan,4,6510
243,Robert White,WHITE,South Africa,9,6370
244,Kai Chen Teoh,TEOH,Australia,13,6360
245,Adnan Ebrahim,EBRAHIM,Bahrain,7,6305
246,Haikal Taufik M Atef,ATEF,Malaysia,12,6210
247,Tharun Mannepalli,MANNEPALLI,India,9,6110
248,Alvaro Leal,LEAL,Spain,11,5980
249,Brice Leverdez,LEVERDEZ,France,4,5930
250,Rasindu Hendahewa,HENDAHEWA,Sri Lanka,14,5920
251,Abhinav Manota,MANOTA,New Zealand,2,5900
252,Grégoire Deschamp,DESCHAMP,France,14,5894
253,Robert Summers,SUMMERS,South Africa,8,5885
254,Varun Kapur,KAPUR,India,10,5780
255,Keith Mark Edison,EDISON,Australia,17,5740
256,Matthew Abela,ABELA,Malta,14,5670
257,Muhammad Halim As Sidiq,SIDIQ,Indonesia,4,5660
258,Bruno Carvalho,CARVALHO,Portugal,17,5650
259,Tian Yao Dong,DONG,China,4,5629
260,Kiran Kumar Mekala,MEKALA,India,14,5600
261,Nadeem Dalvi,DALVI,England,16,5551
262,Kai Hern Huan,HUAN,Malaysia,8,5520
263,Dong Keun Lee,LEE,Korea,4,5520
264,Kaushal Dharmamer,DHARMAMER,India,7,5470
265,Ricky Cheng,CHENG,New Zealand,6,5440
266,Yonatan Linarez,LINAREZ,Dominican Republic,5,5430
267,Amaury Lievre,LIEVRE,France,12,5410
268,Jonathan Dolan,DOLAN,Ireland,7,5380
269,Jiří Král,KRÁL,Czech Republic,10,5360
270,Raymond Sing,SING,Timor Leste,10,5300
271,Jewel Angelo Albo,ALBO,Philippines,6,5230
272,Cholan Kayan,KAYAN,England,15,5198
273,Batdavaa Munkhbat,MUNKHBAT,Mongolia,10,5170
274,Samuel Lee,LEE,Malaysia,11,5130
275,Gustav Bjorkler,BJORKLER,Sweden,7,5120
276,Mikolaj Szymanowski,SZYMANOWSKI,Poland,13,5115
277,Anirudh Janardhanan,JANARDHANAN,India,17,5090
278,Pit Seng Low,LOW,Australia,5,5090
279,Iikka Heino,HEINO,Finland,8,5080
280,Chao Sun,SUN,China,2,5040
281,Naren Shankar Iyer,IYER,India,11,4960
282,Pang Fong Pui,PUI,Macau China,6,4910
283,Prahdiska Bagas Shujiwo,SHUJIWO,Indonesia,5,4910
284,Cheng-Han Tsai,TSAI,Chinese Taipei,4,4910
285,Ayush Shetty,SHETTY,India,3,4870
286,Nicolas A. Mueller,MUELLER,Switzerland,16,4860
287,Aashinsa Herath,HERATH,Sri Lanka,7,4860
